quadprog 1.5-8
quanteda 2.1.1
quantmod 0.4.17
QuantPsyc 1.5
quantreg 5.61
questionr 0.7.1
r2d3 0.2.3
R2HTML 2.3.2
R2jags 0.6-1
R2WinBUGS 2.1-21
R6 2.4.1
RandomFields 3.3.8
RandomFieldsUtils 0.5.3
randomForest 4.6-14
randomForestSRC 2.9.3
randomGLM 1.02-1
randtoolbox 1.30.1
ranger 0.12.1
RANN 2.6.1
rappdirs 0.3.1
rapportools 1.0
rARPACK 0.11-0
raster 3.3-13
rattle 5.4.0
R.cache 0.14.0
rcmdcheck 1.3.3
Rcmdr 2.6-2
RcmdrMisc 2.7-1
RColorBrewer 1.1-2
Rcpp 1.0.5
RcppArmadillo 0.9.900.2.0
RcppEigen 0.3.3.7.0
RcppGSL 0.3.8
RcppParallel 5.0.2
RcppProgress 0.4.2
RcppRoll 0.3.0
RcppZiggurat 0.1.5
RCurl 1.98-1.2
Rdpack 1.0.0
readbitmap 0.1.5
readr 1.3.1
readstata13 0.9.2
readxl 1.3.1
recipes 0.1.13
registry 0.5-1
relimp 1.0-5
rematch 1.0.1
rematch2 2.1.2
remotes 2.2.0
repr 1.1.0
reprex 0.3.0
reshape 0.8.8
reshape2 1.4.4
ResourceSelection 0.3-5
reticulate 1.16
rex 1.2.0
Rfast 1.9.9
rgdal 1.5-16
rgenoud 5.8-3.0
rgeos 0.5-3
rgl 0.100.54
Rglpk 0.6-4
RgoogleMaps 1.4.5.3
rhandsontable 0.3.7
rio 0.5.16
rjags 4-10
rJava 0.9-13
rjson 0.2.20
RJSONIO 1.3-1.4
rlang 0.4.7
rlist 0.4.6.1
rmarkdown 2.3
R.matlab 3.6.2
R.methodsS3 1.8.0
Rmisc 1.5
Rmpfr 0.8-1
rms 6.0-1
rmutil 1.1.5
rngtools 1.5
rngWELL 0.10-6
RNifti 1.1.0
robustbase 0.93-6
ROCR 1.0-11
ROI 0.3-3
R.oo 1.23.0
rootSolve 1.8.2.1
ROSE 0.0-3
roxygen2 7.1.1
rpanel 1.1-4
rpart 4.1-15
rpart.plot 3.0.8
rprojroot 1.3-2
rqdatatable 1.2.8
rquery 1.4.5
rrcov 1.5-5
RSNNS 0.4-12
Rsolnp 1.16
RSpectra 0.16-0
RSQLite 2.2.0
rstan 2.21.2
rstantools 2.1.1
rstatix 0.6.0
rstudioapi 0.11
rticles 0.14
Rtsne 0.15
Rttf2pt1 1.3.8
R.utils 2.9.2
rversions 2.0.2
rvest 0.3.6
RWeka 0.4-42
RWekajars 3.9.3-2
sampling 2.8
sand 2.0.0
sandwich 2.5-1
scales 1.1.1
scatterplot3d 0.3-41
sda 1.3.7
seewave 2.1.6
segmented 1.2-0
selectr 0.4-2
seqinr 3.6-1
seriation 1.2-8
sessioninfo 1.1.1
sets 1.0-18
sf 0.9-5
sfsmisc 1.1-7
sgd 1.1.1
shape 1.4.4
shiny 1.5.0
shinyAce 0.4.1
shinycssloaders 1.0.0
shinydashboard 0.7.1
shinyjs 1.1
shinythemes 1.1.2
shinyWidgets 0.5.3
signal 0.7-6
sigr 1.0.8
sjlabelled 1.1.6
sjmisc 2.8.5
sjPlot 2.8.4
sjstats 0.18.0
skimr 2.1.2
slam 0.1-47
sm 2.2-5.6
sn 1.6-2
sna 2.5
snakecase 0.11.0
snow 0.4-3
SnowballC 0.7.0
snowfall 1.84-6.1
sourcetools 0.1.7
sp 1.4-2
spacetime 1.2-3
spam 2.5-1
sparklyr 1.3.1
SparseM 1.78
spatial 7.3-12
spatstat 1.64-1
spatstat.data 1.4-3
spatstat.utils 1.17-0
spData 0.3.8
spdep 1.1-5
speedglm 0.3-2
splancs 2.01-40
